issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,confidence,probability_estimate,escalation_score,nuclear_score,cyber_score,prob_score,economic_score,raw_risk_score,risk_index,risk_tier,anomaly_flag,anomaly_score,predicted_tier_num,predicted_tier,cluster,archetype
Israel-Arab Tensions,2024,Latin America,India; Pakistan,High,None,Severe,Localized shock,Low,0.206,20,0,20,3.09,2,45.09,38.4,🟡 Moderate,1,-0.5578571604923992,1,🟡 Moderate,0,Proxy War
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Moderate,Moderate,Low,Global market impact,Low,0.253,10,20,5,3.8,10,48.8,42.8,🟡 Moderate,1,-0.5313818862977097,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,Middle East,China; Taiwan,Moderate,High,High,Regional recession,High,0.479,10,30,15,7.18,7,69.18,66.7,🟠 High,1,-0.49863087557763314,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,Severe,High,Moderate,Global market impact,High,0.517,25,30,10,7.76,10,82.76,82.6,🔴 Critical,1,-0.5690052054194011,3,🔴 Critical,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,South Asia,China; Taiwan,Low,High,Low,Energy price spike,Low,0.106,5,30,5,1.59,5,46.59,40.2,🟡 Moderate,1,-0.5607236977492744,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,High,Low,Moderate,Localized shock,High,0.562,20,10,10,8.43,2,50.43,44.7,🟡 Moderate,1,-0.514855575755248,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,East Asia,North Korea; South Korea,High,None,Moderate,Localized shock,Medium,0.706,20,0,10,10.59,2,42.59,35.5,🟡 Moderate,1,-0.5423868443911081,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,South Asia,Russia; Ukraine,Severe,High,High,Localized shock,High,0.133,25,30,15,2.0,2,74.0,72.3,🟠 High,1,-0.5693310206628889,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2026,Middle East,China; Taiwan,Low,None,Low,Energy price spike,Low,0.362,5,0,5,5.43,5,20.43,9.5,🟢 Low,1,-0.5780586713367873,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Low,None,Low,Localized shock,Low,0.479,5,0,5,7.18,2,19.18,8.1,🟢 Low,-1,-0.5996106862550575,0,🟢 Low,2,Cyber-Dominant
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Moderate,Low,Moderate,Energy price spike,High,0.382,10,10,10,5.73,5,40.73,33.3,🟡 Moderate,1,-0.4841400292820485,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,Moderate,Moderate,Localized shock,Low,0.502,25,20,10,7.53,2,64.53,61.2,🟠 High,1,-0.5399374114700867,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2025,South Asia,India; Pakistan,High,Low,Low,Regional recession,High,0.384,20,10,5,5.76,7,47.76,41.6,🟡 Moderate,1,-0.500067866164592,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Low,Moderate,Low,Localized shock,Medium,0.458,5,20,5,6.87,2,38.87,31.1,🟡 Moderate,1,-0.5627278884156097,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,Moderate,High,Regional recession,Low,0.801,25,20,15,12.02,7,79.02,78.2,🔴 Critical,1,-0.5601340943653799,3,🔴 Critical,0,Proxy War
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,Low,Low,Low,Regional recession,Medium,0.158,5,10,5,2.37,7,29.37,20.0,🟢 Low,1,-0.5433864949980378,0,🟢 Low,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Moderate,Low,Severe,Energy price spike,Low,0.358,10,10,20,5.37,5,50.37,44.6,🟡 Moderate,1,-0.5030750645131605,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Severe,High,Low,Energy price spike,Medium,0.463,25,30,5,6.94,5,71.94,69.9,🟠 High,1,-0.5369751846315384,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,Latin America,China; Taiwan,Low,None,Low,Regional recession,Low,0.518,5,0,5,7.77,7,24.77,14.6,🟢 Low,1,-0.5463039341583896,0,🟢 Low,2,Cyber-Dominant
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Moderate,None,High,Global market impact,Low,0.767,10,0,15,11.5,10,46.5,40.1,🟡 Moderate,1,-0.5506002145117153,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Moderate,Low,High,Regional recession,High,0.434,10,10,15,6.51,7,48.51,42.4,🟡 Moderate,1,-0.4722328549815157,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,High,High,Moderate,Global market impact,Low,0.448,20,30,10,6.72,10,76.72,75.5,🔴 Critical,1,-0.5503247545254534,3,🔴 Critical,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,High,High,Low,Localized shock,Medium,0.637,20,30,5,9.56,2,66.56,63.6,🟠 High,1,-0.55395497312103,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Moderate,None,Low,Energy price spike,Medium,0.052,10,0,5,0.78,5,20.78,9.9,🟢 Low,-1,-0.5968456825301361,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Low,Moderate,High,Global market impact,Low,0.228,5,20,15,3.42,10,53.42,48.2,🟡 Moderate,1,-0.5177080009802304,1,🟡 Moderate,1,Direct Confrontation
