issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Israel-Arab Tensions,2024,Latin America,India; Pakistan,High,None,Severe,Localized shock,0.206,38.4,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Moderate,Moderate,Low,Global market impact,0.253,42.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Middle East,China; Taiwan,Moderate,High,High,Regional recession,0.479,66.7,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,Severe,High,Moderate,Global market impact,0.517,82.6,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Russia-Ukraine Conflict,2024,South Asia,China; Taiwan,Low,High,Low,Energy price spike,0.106,40.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,High,Low,Moderate,Localized shock,0.562,44.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,North Korea; South Korea,High,None,Moderate,Localized shock,0.706,35.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,South Asia,Russia; Ukraine,Severe,High,High,Localized shock,0.133,72.3,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,Middle East,China; Taiwan,Low,None,Low,Energy price spike,0.362,9.5,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Low,None,Low,Localized shock,0.479,8.1,🟢 Low,Cyber-Dominant,-1,🟢 Low
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Moderate,Low,Moderate,Energy price spike,0.382,33.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,Moderate,Moderate,Localized shock,0.502,61.2,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2025,South Asia,India; Pakistan,High,Low,Low,Regional recession,0.384,41.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Low,Moderate,Low,Localized shock,0.458,31.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,Moderate,High,Regional recession,0.801,78.2,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,Low,Low,Low,Regional recession,0.158,20.0,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Moderate,Low,Severe,Energy price spike,0.358,44.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Severe,High,Low,Energy price spike,0.463,69.9,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,China; Taiwan,Low,None,Low,Regional recession,0.518,14.6,🟢 Low,Cyber-Dominant,1,🟢 Low
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Moderate,None,High,Global market impact,0.767,40.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Moderate,Low,High,Regional recession,0.434,42.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,High,High,Moderate,Global market impact,0.448,75.5,🔴 Critical,Nuclear Standoff,1,🔴 Critical
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,High,High,Low,Localized shock,0.637,63.6,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Moderate,None,Low,Energy price spike,0.052,9.9,🟢 Low,Direct Confrontation,-1,🟢 Low
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Low,Moderate,High,Global market impact,0.228,48.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Global market impact,0.445,16.9,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Low,Low,High,Global market impact,0.772,46.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,Russia; Ukraine,Moderate,High,Severe,Energy price spike,0.737,74.7,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Severe,None,Low,Regional recession,0.593,39.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,South Asia,North Korea; South Korea,Low,High,Severe,Localized shock,0.764,65.8,🟠 High,Cyber-Dominant,-1,🟠 High
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,Low,None,Low,Regional recession,0.569,15.5,🟢 Low,Cyber-Dominant,1,🟢 Low
Venezuela-US Tensions 2026,2025,Eastern Europe,China; Taiwan,Low,High,Low,Regional recession,0.619,51.5,🟠 High,Cyber-Dominant,1,🟠 High
