conflict_name,start_year,end_year,theater,battle_name,country,alliance,role,casualties_mil_k,casualties_civ_k,military_personnel_k,front,outcome,treaty,key_leader,equipment_focus,notes
World War I,1914,1918,Middle East,Ypres,Russia,Allied Powers,Support,663.09,406.18,2681.93,Middle East,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Ypres,Belgium,Allied Powers,Air,24.86,119.7,1967.16,Balkans,Allied Victory,Treaty of Sevres,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Jutland,Italy,Allied Powers,Expeditionary,140.78,574.35,1042.95,Italian Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Western Front,Caporetto,Belgium,Allied Powers,Belligerent,875.83,227.43,1678.52,Western Front,Allied Victory,Treaty of Trianon,Nicholas II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Gallipoli,France,Allied Powers,Support,779.97,228.39,1387.56,Balkans,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Eastern Front,Marne,Belgium,Allied Powers,Support,147.9,227.98,2969.09,Eastern Front,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Western Front,Tannenberg,Ottoman Empire,Central Powers,Expeditionary,60.5,547.93,1723.18,Western Front,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Italian Front,Gallipoli,Germany,Central Powers,Support,670.75,323.62,2253.69,Italian Front,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Air,Verdun,United Kingdom,Allied Powers,Belligerent,138.4,96.41,2057.42,Air,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Verdun,Belgium,Allied Powers,Expeditionary,691.97,204.44,915.83,Western Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Eastern Front,Gallipoli,Belgium,Allied Powers,Air,179.82,224.66,526.57,Eastern Front,Allied Victory,Treaty of Versailles,Nicholas II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Eastern Front,Tannenberg,Austria-Hungary,Central Powers,Support,53.07,526.87,2843.5,Eastern Front,Allied Victory,Treaty of Sevres,Enver Pasha,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Air,Marne,Austria-Hungary,Central Powers,Air,785.32,254.17,674.8,Air,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Air,Caporetto,France,Allied Powers,Support,203.0,203.18,1785.51,Air,Allied Victory,Armistice of 1918,Georges Clemenceau,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Verdun,United Kingdom,Allied Powers,Expeditionary,64.7,143.18,2023.48,Balkans,Allied Victory,Armistice of 1918,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Air,Jutland,Russia,Allied Powers,Belligerent,88.14,258.92,1299.56,Air,Allied Victory,Treaty of Versailles,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Naval,Tannenberg,France,Allied Powers,Support,173.24,322.0,463.54,Naval,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Eastern Front,Somme,Belgium,Allied Powers,Belligerent,872.13,555.86,2553.65,Eastern Front,Allied Victory,Treaty of Sevres,Kaiser Wilhelm II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Western Front,Marne,Ottoman Empire,Central Powers,Belligerent,886.79,159.49,2363.01,Western Front,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Balkans,Gallipoli,Russia,Allied Powers,Belligerent,521.68,325.55,2256.53,Balkans,Allied Victory,Treaty of Versailles,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Eastern Front,Marne,France,Allied Powers,Air,62.1,517.16,1241.14,Eastern Front,Allied Victory,Treaty of Saint-Germain,Nicholas II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Naval,Tannenberg,Austria-Hungary,Central Powers,Support,603.08,188.85,833.56,Naval,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Air,Verdun,France,Allied Powers,Air,192.63,159.49,2803.12,Air,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Middle East,Somme,Belgium,Allied Powers,Expeditionary,838.65,62.6,2640.47,Middle East,Allied Victory,Treaty of Versailles,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Middle East,Ypres,Italy,Allied Powers,Support,619.06,511.82,1540.96,Middle East,Allied Victory,Treaty of Versailles,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Somme,Italy,Allied Powers,Support,573.76,157.54,2236.63,Western Front,Allied Victory,Treaty of Sevres,Nicholas II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Italian Front,Somme,Italy,Allied Powers,Air,497.72,258.16,173.4,Italian Front,Allied Victory,Treaty of Versailles,David Lloyd George,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Africa,Jutland,Serbia,Allied Powers,Support,833.26,142.42,529.38,Africa,Allied Victory,Treaty of Sevres,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Balkans,Gallipoli,Germany,Central Powers,Belligerent,344.91,23.72,1438.54,Balkans,Allied Victory,Treaty of Sevres,David Lloyd George,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Western Front,Ypres,Ottoman Empire,Central Powers,Expeditionary,251.46,42.12,2331.31,Western Front,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Eastern Front,Gallipoli,Germany,Central Powers,Air,866.32,159.65,369.79,Eastern Front,Allied Victory,Treaty of Trianon,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Eastern Front,Jutland,Serbia,Allied Powers,Support,230.0,425.42,54.99,Eastern Front,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Africa,Verdun,Austria-Hungary,Central Powers,Air,279.05,245.33,1237.08,Africa,Allied Victory,Armistice of 1918,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
