conflict_name,start_year,end_year,theater,operation_name,country,alliance,role,casualties_mil_k,casualties_civ_k,military_personnel_k,front,outcome,conference_or_treaty,key_leader,equipment_focus,notes
World War II,1939,1946,North Africa,Okinawa,Canada,Allies,Expeditionary,1150.4,605.98,2899.95,North Africa,Allied Victory,United Nations Charter,Franklin D. Roosevelt,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Eastern Front,Midway,Soviet Union,Allies,Air,1372.0,929.26,1582.17,Eastern Front,Allied Victory,United Nations Charter,Hideki Tojo,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,North Africa,D-Day,United States,Allies,Belligerent,940.25,1088.39,1768.94,North Africa,Allied Victory,Yalta Conference,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Eastern Front,Barbarossa,Italy,Axis,Expeditionary,63.45,587.69,4263.83,Eastern Front,Allied Victory,Yalta Conference,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,North Africa,Okinawa,Canada,Allies,Naval,559.5,1090.5,1156.0,North Africa,Allied Victory,Armistice,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,European,Midway,Soviet Union,Allies,Air,433.07,1110.93,4017.83,European,Allied Victory,Potsdam Conference,Winston Churchill,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Atlantic,El Alamein,Italy,Axis,Expeditionary,528.75,843.01,1973.07,Atlantic,Allied Victory,Yalta Conference,Charles de Gaulle,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,European,Iwo Jima,Germany,Axis,Support,1015.25,281.71,4739.96,European,Allied Victory,United Nations Charter,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Atlantic,Barbarossa,Soviet Union,Allies,Naval,988.67,142.02,3323.52,Atlantic,Allied Victory,Yalta Conference,Adolf Hitler,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,European,Battle of Britain,United Kingdom,Allies,Belligerent,900.01,771.63,2569.68,European,Allied Victory,Armistice,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,North Africa,El Alamein,Soviet Union,Allies,Belligerent,687.03,1046.86,4989.94,North Africa,Allied Victory,Yalta Conference,Hideki Tojo,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Eastern Front,D-Day,Italy,Axis,Support,21.89,957.58,405.19,Eastern Front,Allied Victory,Yalta Conference,Franklin D. Roosevelt,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Asia,Midway,Japan,Axis,Expeditionary,121.51,373.55,1746.29,Asia,Allied Victory,Yalta Conference,Joseph Stalin,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,Eastern Front,Barbarossa,Germany,Axis,Naval,522.71,938.89,4741.27,Eastern Front,Allied Victory,United Nations Charter,Adolf Hitler,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,North Africa,El Alamein,France,Allies,Air,1170.42,1132.66,1213.94,North Africa,Allied Victory,Tehran Conference,Adolf Hitler,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,El Alamein,France,Allies,Expeditionary,1201.72,739.51,487.71,Eastern Front,Allied Victory,Potsdam Conference,Adolf Hitler,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Asia,El Alamein,United Kingdom,Allies,Support,1287.24,292.08,1527.17,Asia,Allied Victory,Tehran Conference,Hideki Tojo,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,North Africa,Barbarossa,United Kingdom,Allies,Air,1047.22,555.28,2496.09,North Africa,Allied Victory,Potsdam Conference,Franklin D. Roosevelt,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,European,Barbarossa,Japan,Axis,Air,1034.35,445.03,2680.66,European,Allied Victory,Potsdam Conference,Franklin D. Roosevelt,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Eastern Front,Okinawa,Japan,Axis,Expeditionary,308.97,74.39,1834.32,Eastern Front,Allied Victory,Potsdam Conference,Hideki Tojo,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,North Africa,Battle of Britain,Poland,Allies,Belligerent,161.97,454.09,2897.51,North Africa,Allied Victory,Yalta Conference,Hideki Tojo,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Asia,Barbarossa,Germany,Axis,Air,1303.15,512.01,701.93,Asia,Allied Victory,Tehran Conference,Charles de Gaulle,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Pacific,Iwo Jima,Soviet Union,Allies,Expeditionary,479.23,798.11,3732.83,Pacific,Allied Victory,Tehran Conference,Franklin D. Roosevelt,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,North Africa,Midway,Poland,Allies,Air,1092.96,502.12,800.98,North Africa,Allied Victory,Yalta Conference,Joseph Stalin,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Pacific,Stalingrad,Japan,Axis,Belligerent,406.55,414.89,3454.5,Pacific,Allied Victory,Tehran Conference,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Asia,Stalingrad,Canada,Allies,Belligerent,911.16,664.14,3308.55,Asia,Allied Victory,Tehran Conference,Franklin D. Roosevelt,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
