issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Israel-Arab Tensions,2024,Latin America,India; Pakistan,Non-Aligned,Hybrid Threats,Cyber attack,High,0.206,Low,Humanitarian crisis,Localized shock,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Coalition B,Opposing Coalition,Border incident,Moderate,0.253,Low,Humanitarian crisis,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Middle East,China; Taiwan,Coalition B,Non-State Actors,Proxy conflict,Moderate,0.479,High,Mass displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,Regional Allies,Opposing Coalition,Proxy conflict,Severe,0.517,High,Localized displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,South Asia,China; Taiwan,Regional Allies,Opposing Coalition,Airspace violation,Low,0.106,Low,Localized displacement,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,NATO,Non-State Actors,Proxy conflict,High,0.562,High,Localized displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,North Korea; South Korea,Regional Allies,Hybrid Threats,Airspace violation,High,0.706,Medium,Regional displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,Russia; Ukraine,Non-Aligned,Non-State Actors,Border incident,Severe,0.133,High,Humanitarian crisis,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,China; Taiwan,NATO,Non-State Actors,Maritime confrontation,Low,0.362,Low,Regional displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Regional Allies,State Actors,Border incident,Low,0.479,Low,Regional displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,UN Mediation,Hybrid Threats,Sanctions escalation,Moderate,0.382,High,Humanitarian crisis,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Coalition A,State Actors,Airspace violation,Severe,0.502,Low,Localized displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,India; Pakistan,Coalition B,Hybrid Threats,Maritime confrontation,High,0.384,High,Mass displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Regional Allies,Hybrid Threats,Border incident,Low,0.458,Medium,Localized displacement,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,UN Mediation,Opposing Coalition,Maritime confrontation,Severe,0.801,Low,Humanitarian crisis,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,Non-Aligned,Hybrid Threats,Cyber attack,Low,0.158,Medium,Localized displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Coalition A,State Actors,Cyber attack,Moderate,0.358,Low,Humanitarian crisis,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Coalition B,State Actors,Sanctions escalation,Severe,0.463,Medium,Humanitarian crisis,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,China; Taiwan,Non-Aligned,Hybrid Threats,Airspace violation,Low,0.518,Low,Humanitarian crisis,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Coalition A,Opposing Coalition,Proxy conflict,Moderate,0.767,Low,Localized displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Coalition B,State Actors,Cyber attack,Moderate,0.434,High,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,UN Mediation,Opposing Coalition,Cyber attack,High,0.448,Low,Localized displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,Coalition A,Hybrid Threats,Proxy conflict,High,0.637,Medium,Mass displacement,Localized shock,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
